head,author_name,author_email,date,text
Вечерний обзор IT-новостей 16 декабря,Tproger Live,news@tproger.ru,"16 декабря 2019, 21:49",
"Привет, я вновь с вопросом :)",Лиза из GeekBrains,liza@e.geekbrains.ru,"16 декабря 2019, 16:26",Привет!Что будете делать на январских праздниках?8-800-700-68-418-800-700-68-41
Вечерний обзор IT-новостей 13 декабря,Tproger Live,news@tproger.ru,"13 декабря 2019, 20:00",
Вечерний обзор IT-новостей 12 декабря,Tproger Live,news@tproger.ru,"12 декабря 2019, 21:08",
⚔️ Нам нужен герой.,GeekBrains,digest@e.geekbrains.ru,"12 декабря 2019, 16:24",Привет!8-800-700-68-418-800-700-68-41
Вечерний обзор IT-новостей 11 декабря,Tproger Live,news@tproger.ru,"11 декабря 2019, 20:03",
Наша самая смелая акция,GeekBrains,digest@e.geekbrains.ru,"11 декабря 2019, 16:15",Привет!Самое выгодное предложение года!Рекомендуем лично вамКому «Технокубок»?P. S. Как вам письмо?P. S. Как вам письмо?Пишите еще!Пишите еще!Не огонь...Не огонь...8-800-700-68-418-800-700-68-41
Вечерний обзор IT-новостей 10 декабря,Tproger Live,news@tproger.ru,"10 декабря 2019, 20:00",
Вечерний обзор IT-новостей 9 декабря,Tproger Live,news@tproger.ru,"9 декабря 2019, 20:14",
Привет! Есть минутка?,Лиза из GeekBrains,liza@e.geekbrains.ru,"9 декабря 2019, 16:20",8-800-700-68-418-800-700-68-41
О факультетах,GeekBrains,digest@e.geekbrains.ru,"7 декабря 2019, 12:32",ПрограммированиеМенеджментДизайнМаркетингP. S. Как вам письмо?P. S. Как вам письмо?Пишите еще!Пишите еще!Не огонь...Не огонь...8-800-700-68-418-800-700-68-41
Вечерний обзор IT-новостей 6 декабря,Tproger Live,news@tproger.ru,"6 декабря 2019, 19:59",
Вечерний обзор IT-новостей 5 декабря,Tproger Live,news@tproger.ru,"5 декабря 2019, 21:51",
𝐆𝐄𝐄𝐊 𝐌𝐎𝐑𝐎𝐙,GeekBrains,digest@e.geekbrains.ru,"5 декабря 2019, 16:29",Привет!Рекомендуем лично вамбесплатныйP. S. Как вам письмо?P. S. Как вам письмо?Пишите еще!Пишите еще!Не огонь...Не огонь...8-800-700-68-418-800-700-68-41
Изменён пароль в аккаунте,Почта Mail.ru,security@e.mail.ru,"4 декабря 2019, 22:31","Изменён пароль в аккаунте
 study.ai_172@mail.ru в аккаунтеВ аккаунте study.ai_172@mail.ru изменили пароль.Если вы этого не делали, восстановите доступ.Вы получили это письмо, потому что являетесь пользователем Сервиса Почта Mail‌.ru на основании Пользовательского соглашения.‌Copyright 2019 Mail‌.ru Group, Москва — Все права защищены.‌Служба поддержки"
Ваш ящик разблокирован,Команда Почты Mail.ru,welcome@corp.mail.ru,"4 декабря 2019, 22:31","  Здравствуйте!
 
 
  Доступ к вашей почте восстановлен
 
  Следуйте простым правилам, и ваш почтовый ящик будет в безопасности.
 
 
 
 
 
   
  Не используйте пароль от почты при регистрации в других сервисах.
 
   
 
  Никогда не используйте пароль от почты при регистрации на разных сайтах, так как злоумышленники легко могут его заполучить. Пароль для почты должен быть уникальным и желательно сложным. Чем больше разных букв, цифр и символов вы будете использовать для вашего пароля к почте, тем сложнее его будет взломать. Если ваш пароль используется вами на других сайтах или он простой — смените его прямо сейчас!
   Сменить пароль 
 
 
   
   
  Пользуйтесь анонимными адресами для регистрации на разных сайтах.
 
   
 
  Анонимайзер Mail.ru — сервис создания дополнительных почтовых ящиков. Даже если злоумышленник украдет базу пользователей игры или другого сайта, ваш основной логин и пароль к почте будут в безопасности.
   Узнать подробнее 
 
 
   
  Поддерживайте актуальным мобильный телефон.
 
   
 
  С помощью привязанного мобильного телефона вы сможете очень быстро восстановить доступ к почте или забытый пароль, не обращаясь в службу поддержки. Телефон будет использоваться только для восстановления доступа, никаких рассылок вы получать не будете.
   Актуализировать мобильный телефон 
 
 
   
  Доверяй, но проверяй!
Убедитесь, что письмо настоящее.
 
   
 
  Если вам пришло письмо от команды Mail.ru, обязательно проверьте, чтобы адрес заканчивался на @corp.mail.ru, например news@corp.mail.ru.
Один из самых распространенных способов потерять доступ к почте — перейти по ссылке в фишинговом письме.
Не поддавайтесь на провокации!
 
 
   
  Читайте больше о безопасности
на security.mail.ru
 
 
   
 
 
  Следите за нашими новостями в блоге Почты
и социальных сетях:
 
   
   
  С наилучшими пожеланиями, команда Почты Mail.ru
 
  Отписаться от рассылки  •  Служба поддержки
Mail.ru Group, Москва — Все права защищены.
 
   
 
 
 "
Вечерний обзор IT-новостей 4 декабря,Tproger Live,news@tproger.ru,"4 декабря 2019, 21:18",
